name,perfume_url,brand,type,year,gender,family,image_url,concentration,facettes,date_creation,parfumeurs,description_title,description_text,notes_tete,notes_coeur,notes_fond
Original,https://www.olfastory.com/parfum/original,Lacoste,Extrait,2025,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/lacoste-orignal-pafum.jpg?itok=rijwQRYa,Extrait,Ambrée;Epicée,2025,Inconnu,Lacoste Original Parfum – Carte d’identité,"Lacoste Original Parfum – Carte d’identitéLe crocodile passe au concentré : énergie sport-chic à 25 %Quarante ans après le lancement du tout premier jus Lacoste, la marque dévoile Lacoste Original Parfum, nouveauté 2025 et version la plus intense jamais proposée. Formulé à 25 % d’essence aromatique, ce concentré réinterprète la fougère boisée emblématique en poussant chaque facette à son paroxysme : gingembre-cardamome plus piquants, lavande-encens plus fumés, tonka-patchouli plus enveloppants. Pensé comme le moment charnière où l’adrénaline du match cède la place à l’élégance du vestiaire privé, il célèbre le mantra maison : « Play Hard, Stay Original ».",Bergamote;Cardamome;Poivre,Lavande;Lavandin;Sauge sclarée,Fève tonka;Patchouli;Santal
A*Men Stellar,https://www.olfastory.com/parfum/amen-stellar,Thierry Mugler,Eau de parfum,2025,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/amen-stellar-mugler.jpg?itok=B5HndNvQ,Eau de parfum,Aromatique;Gourmande,2025,Jacques Huclier;Louise Turner,A*Men Stellar : la nouvelle détonation gourmande-cosmique signée Mugler,"A*Men Stellar : la nouvelle détonation gourmande-cosmique signée MuglerLa saga A*Men se propulse dans la galaxieDepuis 1996, A*Men réinvente la gourmandise masculine avec une succession de flankers toujours plus audacieux. Après les déclinaisons Pure Coffee, Pure Malt, Infrared ou Ultimate, Mugler présente en avril 2025 A*Men Stellar, un Eau de Parfum qui troque la signature café-patchouli originelle pour un accord pistache crémeuse percuté d’étincelles de bergamote et de lavandin lumineux. L’idée ? Offrir à l’icône « star-man » une ascension interstellaire, entre plaisir gourmand et facette métallique-boisée évoquant la coque d’un vaisseau spatial.",Bergamote;Lavande,Pistache,Notes Boisées
Code Elixir,https://www.olfastory.com/parfum/code-elixir,Armani,Eau de parfum,2025,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/armani-code-elixir.jpg?itok=5NnpVdO3,Eau de parfum,Ambrée;Cuir;Epicée,2025,Inconnu,Armani Code Elixir : la nouvelle décharge d’intensité de Giorgio Armani,"Armani Code Elixir : la nouvelle décharge d’intensité de Giorgio ArmaniLe Code le plus concentré à ce jourDévoilé au printemps 2025, Armani Code Elixir se présente comme la version la plus puissante et la plus sensuelle de la lignée amorcée en 2004. Cette concentration parfum combine un cœur cuir-liquor à des épices fumées, sur une base de tonka grillée, offrant une facette ambrée-cuir inédite dans la collection.",Mandarine,Cuir,Fève tonka
Spicebomb Metallic Musk,https://www.olfastory.com/parfum/spicebomb-metallic-musk,Viktor & Rolf,Eau de parfum,2025,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/spicebomb-metallic-musk-viktor-rolf.jpg?itok=qXBd6Drd,Eau de parfum,Cuir;Epicée;Musquée,2025,Jean-Christophe Herault,Spicebomb Metallic Musk : la nouvelle décharge d’adrénaline chromée signée Viktor&Rolf,"Spicebomb Metallic Musk : la nouvelle décharge d’adrénaline chromée signée Viktor&RolfPourquoi « Metallic Musk » ?Lancé au printemps 2025, Spicebomb Metallic Musk représente la troisième évolution « collector » du célèbre flacon-grenade : après Infrared et Night Vision, Viktor&Rolf mise cette fois sur un contraste métal-chair où le poivre noir rencontre un nuage de muscs blancs.Les créateurs décrivent la fragrance comme « la collision d’une giclée d’épices brûlantes contre un miroir de daim argenté » – un clin d’œil à la veste lamée de leur défilé couture AH 2025 presque entièrement réalisée… en papier aluminium.",Agrumes;Aldéhydes,Cannelle;Lavandin;Poivre,Daim;Musc
Explorer Extreme,https://www.olfastory.com/parfum/explorer-extreme,Montblanc,Eau de parfum,2025,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/explorer-extreme-montblanc.jpg?itok=UkOGXb7j,Eau de parfum,Ambrée;Cuir,2025,Jordi Fernandez;Antoine Maisondieu,Explorer Extreme : la nouvelle aventure olfactive signée Montblanc,"Explorer Extreme : la nouvelle aventure olfactive signée MontblancDe Explorer (2019) à Explorer Extreme (2025)Six ans après le succès planétaire d’Explorer, Montblanc lève le voile sur Explorer Extreme, présenté en avant-première fin mai 2025 et mis en vente mondiale le 2 juin suivant.Conçu comme le chapitre le plus intense de la saga, ce flanker « Parfum » vise les aventuriers urbains en quête de sensations extrêmes : plus sombre, plus épicé, plus racé que l’original.",Bergamote,Patchouli;Vétiver,Ambre;Cuir;Notes Boisées
habit rouge privée,https://www.olfastory.com/parfum/habit-rouge-privee,Guerlain,Eau de parfum,2023,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/habit-rouge-pivee.jpg?itok=r96Bpx22,Eau de parfum,Cuir,2023,Delphine Jelk,Inconnu,"La dynastie des Guerlain a toujours été profondément attachée aux chevaux. Pour preuve, Jean-Paul Guerlain était lui-même un dresseur hors pair et un cavalier émérite. C'est donc en s'inspirant de cette passion qu'il confectionna l'un de ses premiers parfums : Habit Rouge. Depuis sa sortie en 1965, cette fragrance masculine est considérée comme une légende olfactive. En 2023, Habit Rouge ne cesse d'ailleurs de faire parler de lui. Il revient dans un nouveau dérivé encore plus intense : Habit Rouge - Rouge Privé.",Bergamote;Gingembre,Iris;Fleur d'Oranger,Cuir;Vanille;Patchouli
boss bottled pacific,https://www.olfastory.com/parfum/boss-bottled-pacific,Hugo Boss,Eau de parfum,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/boss-bottled-pacific.jpg?itok=ZnwgjPLO,Eau de parfum,Boisée,2023,Sophie Labbé,Inconnu,"Faut-il encore le présenter ? Boss Bottled est un parfum de la marque Hugo Boss qui a été élaboré en 1998. Savant mélange de classicisme et de modernité, il est aujourd'hui l'un des jus les plus célèbres de la parfumerie masculine. Fort de son succès, Boss Bottled est également réinterprété année après année, pour dévoiler d'autres dérivés de sa senteur. En 2023, il donne ainsi naissance à un nouveau parfum très rafraîchissant, comme sorti tout droit de l'océan. FOCUS sur Boss Bottled Pacific d’Hugo Boss.",Sel;Noix de coco;Cyprès,Patchouli;Bois de Cachemire,Santal;Citron
Le Male Elixir,https://www.olfastory.com/parfum/le-male-elixir,Jean-Paul Gaultier,Eau de parfum,2023,Homme,Aromatique,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/le-mal-elixir-gaultier.jpg?itok=UASMw8pI,Eau de parfum,Ambrée,2023,Inconnu,Inconnu,"Bien plus qu'une simple fragrance masculine, Le Male de Jean-Paul Gaultier est une véritable icône dans l'univers de la parfumerie. Tout d'abord, il s'agissait du tout premier parfum du couturier. Le Male fut également la première création du nez Francis Kurkdjian. Qui plus est, malgré ses presque 30 ans d'existence, Le Male Elixir de Jean-Paul Gaultier demeure le best-seller incontesté de la marque. En 2023, il est donc remis à l'honneur. S'inspirant toujours de l'univers maritime, il devient plus sophistiqué et infiniment chic, dans sa nouvelle édition Le Male Elixir de Jean-Paul Gaultier.",Lavande,Benjoin,Fève tonka
Lacoste L.12.12 Blanc Eau Intense,https://www.olfastory.com/parfum/lacoste-l1212-blanc-eau-intense,Lacoste,Eau de toilette,2023,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/lacoste-l-12-12-blanc-intense.jpg?itok=1Hju4mYe,Eau de toilette,Epicée,2023,Jean-Christophe Herault;Delphine Lebeau,Inconnu,"René Lacoste était un immense joueur de tennis. Redouté par ses adversaires, il acheva sa carrière après un brillant parcours, dans les années 20. Puis, il décida de lancer sa propre marque de vêtements, toujours très inspirée de l'univers sportif. C'est ainsi que le polo Lacoste fit son apparition, en 1927. Près d'un siècle après sa sortie, il demeure l'un des vêtements les plus convoités de la planète. Mieux encore : il est la source d'inspiration d'une ligne de parfums initiée en 2011. En 2023, celle-ci s'enrichit d'une nouvelle création nommée Lacoste L.12.12 Blanc Eau Intense.",Mandarine;Curcuma,Lavande;Cardamome;Sauge sclarée,Cuir;Santal;Vétiver
Rochas Man Intense,https://www.olfastory.com/parfum/rochas-man-intense,Rochas,Eau de parfum,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/rochas-man-intense.jpg?itok=PmFV8fRh,Eau de parfum,Ambrée,2023,Inconnu,Inconnu,"En 1993, la maison Rochas décida d'offrir un premier parfum à la gent masculine. Il s'agissait de la version homme de l'indémodable Eau de Rochas. Puis, Rochas Man fut conçu quelques années plus tard, en 1999, comme pour s'adresser aux hommes du nouveau millénaire. Avec le design audacieux de son flacon et sa senteur orientale et boisée, cette essence ne passa pas inaperçue. En 2023, Rochas décide de la remettre à l'honneur dans une édition encore plus suave et addictive. C'est ainsi qu'apparaît Rochas Man Intense.",Lavande;Agrumes,Cèdre;Cappuccino,Vanille
Grey Vetiver Parfum,https://www.olfastory.com/parfum/grey-vetiver-parfum,Tom Ford,Eau de parfum,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/grey-vetiver-parfum-tom-ford.jpg?itok=oYoQYgMv,Eau de parfum,Epicée,2023,Inconnu,Inconnu,"Thomas Carlyle Ford est un créateur d'origine texane, qui est né en 1961 et qui a étudié dans différents domaines tels que l'art et l'architecture. Finalement, c'est avec ses créations couture qu'il se fit un nom dans l'univers du luxe. Depuis 2005, Tom Ford possède sa propre marque. Symbole d'élégance à travers le monde, il élabore également des parfums en accord avec son sens inouï du raffinement. C'est ainsi qu'a d'abord été conçu Grey Vetiver en 2009, avant de devenir une Eau de Toilette plus légère en 2014 ou un jus plus puissant en 2023 : Grey Vetiver Parfum.",Vétiver,Fleur d'Oranger,Safran
Azzaro Wanted Eau de Parfum,https://www.olfastory.com/parfum/azzaro-wanted-eau-de-parfum,Azzaro,Eau de parfum,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/azzaro-eau-parfum.jpg?itok=LPo5MmL3,Eau de parfum,Aromatique,2023,Inconnu,Inconnu,"Loris Azzaro était un personnage ambitieux et un véritable amoureux des femmes. Ainsi, il leur consacra sa carrière tout entière et parvint à conquérir le cœur des stars les plus éblouissantes de la planète, grâce à ses robes époustouflantes. Tout au long de sa vie, Loris Azzaro n'a jamais hésité à faire le grand saut et à saisir sa chance. C'est donc à cette image qu'a aussi été conçue la saga parfumée masculine Azzaro Wanted, en 2019. En 2023, un nouveau jus nommé Azzaro Wanted Eau de Parfum vient rejoindre cette ligne de fragrances pour hommes.",Baies de genévrier,Sauge sclarée,Vétiver
L’Eau d’Issey pour Homme Vetiver,https://www.olfastory.com/parfum/leau-dissey-pour-homme-vetiver,Issey Miyaké,Eau de parfum,2023,Homme,Aromatique,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/l-eau-d-issey-homme-vetiver.jpg?itok=tffkEebE,Eau de parfum,Boisée,2023,Inconnu,Inconnu,"En 1992, la parfumerie se caractérisait par des fragrances souvent très opulentes, capiteuses et orientales. Quelle ne fut pas la surprise de voir apparaître un parfum pour femme limpide et très épuré nommé L’Eau d’Issey… Pourtant, cette essence pour femme remporta aussitôt un immense succès. À peine deux ans plus tard, celle-ci se déclina en une édition masculine. Près de 30 ans après la création de L’Eau d’Issey pour Homme, Issey Miyake réinterprète cette essence star pour en faire L’Eau d’Issey pour Homme Vetiver.",Vétiver,Gingembre,Sauge sclarée
Hugo Jeans,https://www.olfastory.com/parfum/hugo-jeans,Hugo Boss,Eau de parfum,2023,Homme,Aromatique,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/hugo-boss-jeans.jpg?itok=A9xGHEOY,Eau de parfum,Boisée,2023,Inconnu,Inconnu,"La marque Hugo Boss est très réputée pour ses costumes. En effet, elle est actuellement l'une des enseignes les plus plébiscitées pour habiller les hommes d'affaires ambitieux et carriéristes. Ces derniers sont parfaitement coupés et sont élaborés dans des textiles d'exception. Néanmoins, Hugo Boss se plaît aussi à offrir aux hommes un style plus décontracté. Voilà pourquoi l'enseigne confectionne aussi des jeans de haute qualité. Or, ce sont précisément ces derniers qui ont inspiré le dernier parfum masculin Hugo Boss : Hugo Jeans.",Pamplemousse;Citron,Baies de genévrier;Menthe,Cèdre;Vétiver
Born in Rome Intense Uomo,https://www.olfastory.com/parfum/born-rome-intense-uomo,Valentino,Eau de parfum,2023,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/born-in-roma-intense-uomo_0.jpg?itok=WBU_aZsK,Eau de parfum,Fougère,2023,Guillaume Flavigny;Antoine Maisondieu,Inconnu,"Valentino est une grande maison de couture qui a été fondée à Rome en 1960. Très imprégnée de la tradition italienne, elle est aujourd'hui dirigée d'une main de maître par le talentueux Pierpaolo Piccioli. Symbole de renouveau et de modernité, il y célèbre désormais l'image d'une ville en pleine mutation, alliant innovation et tradition. Dans ce virage créatif, il élabore aussi des parfums à la frontière des époques, comme en témoigne la fragrance masculine Born in Roma Intense Uomo.",Vanille,Lavande,Vétiver
Boss The Scent Magnetic,https://www.olfastory.com/parfum/boss-scent-magnetic,Hugo Boss,Eau de parfum,2023,Homme,Aromatique,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/hugo-boss-the-scent-magnetic.jpg?itok=1OyKCwx_,Eau de parfum,Poudrée,2023,Delphine Lebeau,Inconnu,"Réputé dans le monde entier pour ses costumes parfaitement coupés, Hugo Boss décida finalement de les accompagner de parfums, dès 1985. Depuis cette date, l'enseigne est un symbole de modernité et de raffinement, accompagnant les hommes et les femmes sur la voie du succès. La collection Boss The Scent, initiée en 2015, s'inscrit donc pleinement dans cette lignée. En 2023, celle-ci s'enrichit d'un nouveau jus, plus intime et invitant rapprochement : Boss The Scent Magnetic.",Maninka,son de blé,Vanille
Armani Code Eau de Toilette,https://www.olfastory.com/parfum/armani-code-eau-de-toilette,Armani,Eau de toilette,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/armani-code-eau-toilette.jpg?itok=twZZovcX,Eau de toilette,Aromatique,2023,Inconnu,Inconnu,"Créée en 2004, la collection Armani Code incarne la confiance en soi au masculin et le charisme inné des hommes. Faisant parfaitement écho au dressing Armani, elle est un assortiment de plusieurs essences sophistiquées, dépourvues de superflu et mettant en exergue des ingrédients rigoureusement sélectionnés. En 2023, celle-ci s'enrichit d'un nouveau venu. Armani Code Eau de Toilette marque un réel tournant dans cette histoire, en s'offrant un flacon novateur et une composition très différente.",Mandarine,Lavande,Fève tonka;Cèdre
This is Him ! Undressed,https://www.olfastory.com/parfum/him-undressed,Zadig & Voltaire,Eau de parfum,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/this-is-him-undressed.jpg?itok=qCXVGqe2,Eau de parfum,Musquée,2023,Nathalie Lorson,Inconnu,"Zadig & Voltaire est une marque de luxe relativement récente. Qui plus est, celle-ci l'est encore plus lorsqu'il s'agit de parfumerie. Toutefois, force est de constater que son démarrage fut brillamment réussi, comme en témoigne son duo de parfums composé de This is Him et This is Her. Sortis en 2007, les deux acolytes semblent toujours inséparables. En 2023, ils nous livrent d'ailleurs une nouvelle facette de leurs personnalités. Du côté des hommes, le nouveau venu se nomme This is Him ! Undressed de Zadig & Voltaire.",Poivre Rose;Fleur d'Oranger;Pamplemousse,Musc;Sel;Ambroxan,Cèdre;Santal;Mousse d'arbre
Azzaro Chrome Parfum,https://www.olfastory.com/parfum/azzaro-chrome-parfum,Azzaro,Eau de parfum,2023,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/azzaro-chrome-parfum.jpg?itok=gsGWP49U,Eau de parfum,Aromatique,2023,Inconnu,Inconnu,"Chrome d’Azzaro est un parfum intemporel, qui nous plonge dans l'intimité de Loris Azzaro, fondateur de la marque éponyme, depuis sa sortie en 1996. En effet, il semble posséder en lui tout l'amour du fondateur pour son petit-fils et pour sa région d'origine : la Méditerranée. Une nouvelle fois, en 2003, Azzaro décide de nous livrer une fragrance pour homme synonyme de connivence et de complicité. Cette fois, il s'agit d’Azzaro Chrome Parfum.",Bergamote,Sauge sclarée,Résine
Invictus Victory Elixir de Paco Rabanne,https://www.olfastory.com/parfum/invictus-victory-elixir-de-paco-rabanne,Paco Rabanne,Eau de parfum,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/invictus_victory_elixir_paco_rabanne.jpg?itok=RFi6ruYn,Eau de parfum,Ambrée,2023,Inconnu,Inconnu,"Paco Rabanne a toujours aimé surprendre. Couturier prodige, il n'a cessé d'accompagner l'émancipation des hommes et des femmes tout au long de sa carrière. Impertinent et audacieux, il est un personnage visionnaire que certains adorent tandis que d'autres détestent. Qu'à cela ne tienne, Paco Rabanne aime faire parler de lui et force est de constater que cela lui réussit. Sa carrière est une immense victoire. Ainsi, en 2023, Paco Rabanne décide une nouvelle fois de mettre à l'honneur les hommes victorieux. Il vous présente le parfum masculin Invictus Victory Elixir.",Oliban,Vanille;Ambre,Fève tonka
1 Million Royal,https://www.olfastory.com/parfum/1-million-royal,Paco Rabanne,Eau de parfum,2023,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/1-million-royal-paco-rabanne.jpg?itok=eXatzlcm,Eau de parfum,Ambrée,2023,Quentin Bisch;Christophe Raynaud,Inconnu,"Paco Rabanne est un créateur de mode atypique, qui n'a jamais hésité à casser les codes. Ainsi, lorsqu'il conçoit des parfums, il ne se contente pas d'élaborer une senteur. Il imagine aussi une histoire et un univers à part entière. Depuis 2008, 1 Million nous plonge dans un monde luxueux. Celui qui porte ce parfum semble pouvoir tout obtenir d'un simple claquement de doigts. Oriental et fruité, ce jus compte actuellement parmi les best-sellers de Paco Rabanne. En 2023, l'enseigne décide donc d'en élaborer une nouvelle version. Bienvenue dans le royaume de1 Million Royal de Paco Rabanne !",Tangerine;Bergamote;Cardamome,Lavande;Feuille de violette;Sauge sclarée,Benjoin;Cèdre;Patchouli
